OBJECTID,HAMILTON_3525005_C00000,TOTAL_FEMALE,TOTAL_MALE,TOTAL_SEX
1,"Population, 2016",...,...,536917
2,"Population, 2011",...,...,519949
3,"Population percentage change, 2011 to 2016",...,...,3.3
4,Total private dwellings,...,...,222918
5,Private dwellings occupied by usual residents,...,...,211596
6,Population density per square kilometre,...,...,480.6
7,Land area in square kilometres,...,...,1117.29
8,Total - Age groups and average age of the population - 100% data,274390,262530,536915
9,  0 to 14 years,42300,44815,87115
10,    0 to 4 years,13710,14565,28275
11,    5 to 9 years,14335,15020,29355
12,    10 to 14 years,14260,15230,29485
13,  15 to 64 years,180285,176610,356895
14,    15 to 19 years,15515,16610,32130
15,    20 to 24 years,17840,18875,36710
16,    25 to 29 years,17805,17915,35720
17,    30 to 34 years,17525,17200,34725
18,    35 to 39 years,16615,15785,32400
19,    40 to 44 years,16900,15855,32755
20,    45 to 49 years,18655,17690,36350
21,    50 to 54 years,21315,20630,41945
22,    55 to 59 years,20350,19725,40075
23,    60 to 64 years,17765,16315,34080
24,  65 years and over,51805,41100,92910
25,    65 to 69 years,15480,13860,29340
26,    70 to 74 years,11130,9920,21055
27,    75 to 79 years,8805,7305,16115
28,    80 to 84 years,7270,5200,12470
29,    85 years and over,9115,4815,13930
30,      85 to 89 years,5425,3260,8685
31,      90 to 94 years,2850,1315,4165
32,      95 to 99 years,740,220,955
33,      100 years and over,100,25,125
34,Total - Distribution (%) of the population by broad age groups - 100% data,100,100,100
35,  0 to 14 years,15.4,17.1,16.2
36,  15 to 64 years,65.7,67.3,66.5
37,  65 years and over,18.9,15.7,17.3
38,    85 years and over,3.3,1.8,2.6
39,Average age of the population,42.4,40.1,41.3
40,Median age of the population,42.8,40,41.5
41,Total - Occupied private dwellings by structural type of dwelling - 100% data,...,...,211600
42,  Single-detached house,...,...,121215
43,  Apartment in a building that has five or more storeys,...,...,33565
44,  Other attached dwelling,...,...,56450
45,    Semi-detached house,...,...,6490
46,    Row house,...,...,24720
47,    Apartment or flat in a duplex,...,...,6685
48,    Apartment in a building that has fewer than five storeys,...,...,18110
49,    Other single-attached house,...,...,450
50,  Movable dwelling,...,...,365
51,Total - Private households by household size - 100% data,...,...,211595
52,  1 person,...,...,59575
53,  2 persons,...,...,68030
54,  3 persons,...,...,33720
55,  4 persons,...,...,30960
56,  5 or more persons,...,...,19310
57,Number of persons in private households,...,...,527930
58,Average household size,...,...,2.5
59,Total - Marital status for the population aged 15 years and over - 100% data,232090,217710,449795
60,  Married or living common law,123430,123480,246905
61,    Married,104325,104375,208705
62,    Living common law,19100,19105,38205
63,  Not married and not living common law,108660,94230,202890
64,    Never married,60145,70920,131065
65,    Separated,8460,6220,14680
66,    Divorced,17490,11455,28945
67,    Widowed,22575,5630,28195
68,Total - Census families in private households by family size - 100% data,...,...,149355
69,  2 persons,...,...,72015
70,  3 persons,...,...,33455
71,  4 persons,...,...,30275
72,  5 or more persons,...,...,13610
73,Average size of census families,...,...,2.9
74,Total number of census families in private households - 100% data,...,...,149355
75,  Total couple families,...,...,120720
76,    Married couples,...,...,101625
77,    Common-law couples,...,...,19090
78,  Total lone-parent families by sex of parent,...,...,28640
79,    Female parent,...,...,23090
80,    Male parent,...,...,5545
81,Total - Couple census families in private households - 100% data,...,...,120715
82,  Couples without children,...,...,54755
83,  Couples with children,...,...,65965
84,    1 child,...,...,25315
85,    2 children,...,...,27885
86,    3 or more children,...,...,12765
87,Total - Lone-parent census families in private households - 100% data,...,...,28635
88,  1 child,...,...,17260
89,  2 children,...,...,8140
90,  3 or more children,...,...,3240
91,Total - Persons not in census families in private households - 100% data,47020,42225,89250
92,Total - Private households by household type - 100% data,...,...,211595
93,  One-census-family households,...,...,139620
94,    Without children in a census family,...,...,51055
95,    With children in a census family,...,...,88560
96,  Multiple-census-family households,...,...,4755
97,  Non-census-family households,...,...,67215
98,    One-person households,...,...,59575
99,    Two-or-more person non-census-family households,...,...,7640
100,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,270895,259745,530635
101,  English only,247535,242380,489915
102,  French only,220,160,375
103,  English and French,17250,13280,30525
104,  Neither English nor French,5890,3930,9815
105,Total - First official language spoken for the total population excluding institutional residents - 100% data,270890,259740,530630
106,  English,260495,251770,512265
107,  French,3590,3170,6760
108,  English and French,1005,970,1975
109,  Neither English nor French,5800,3830,9635
110,Official language minority (number),4090,3655,7745
111,Official language minority (percentage),1.5,1.4,1.5
112,Total - Mother tongue for the total population excluding institutional residents - 100% data,270895,259740,530630
113,  Single responses,264975,254100,519075
114,    Official languages,200950,195590,396540
115,      English,197390,192485,389870
116,      French,3560,3110,6670
117,    Non-official languages,64025,58510,122535
118,      Aboriginal languages,35,40,75
119,        Algonquian languages,20,15,30
120,          Blackfoot,0,0,0
121,          Cree-Montagnais languages,0,5,0
122,            Atikamekw,0,0,0
123,            Montagnais (Innu),0,0,0
124,            Moose Cree,0,0,0
125,            Naskapi,0,0,0
126,            Northern East Cree,0,0,0
127,            Plains Cree,0,0,0
128,            Southern East Cree,0,0,0
129,            Swampy Cree,0,0,0
130,            Woods Cree,0,0,0
131,"            Cree, n.o.s.",0,0,5
132,          Eastern Algonquian languages,0,0,5
133,            Malecite,0,0,5
134,            Mi'kmaq,0,0,0
135,          Ojibway-Potawatomi languages,10,5,20
136,            Algonquin,0,0,0
137,            Ojibway,10,5,20
138,            Oji-Cree,0,0,0
139,            Ottawa (Odawa),0,0,5
140,"          Algonquian languages, n.i.e.",0,0,0
141,        Athabaskan languages,0,0,0
142,          Northern Athabaskan languages,5,0,0
143,            Babine (Wetsuwet'en),0,0,0
144,            Beaver,0,0,0
145,            Carrier,0,0,5
146,            Chilcotin,0,0,0
147,            Dene,0,0,0
148,            Dogrib (Tlicho),0,0,0
149,            Gwich'in,0,0,0
150,            Sarsi (Sarcee),0,0,0
151,            Sekani,0,0,0
152,            Slavey-Hare languages,0,0,0
153,              North Slavey (Hare),0,0,0
154,              South Slavey,0,0,0
155,"              Slavey, n.o.s.",0,0,0
